logLik,epsilon_neg_L1,epsilon_pos_L1,lambda,mu,diffusion_coef,tau_s,tau_l,epsilon_neg_accept,epsilon_pos_accept,lambda_accept,mu_accept,diffusion_coef_accept,tau_s_accept,tau_l_accept,change_k_accept,switch_anc_accept,add_anc_accept,make_founder_accept,make_orphan_accept
-281.728,0.828419,0,0.5,0.05,7.73524,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998681,-nan,-nan,-nan,0.486942,0,-nan,-nan
-283.527,0.828419,0,0.5,0.05,6.73868,1,2.06115e-09,-nan,-nan,-nan,-nan,0.993132,-nan,-nan,-nan,0.493061,0,-nan,-nan
-281.84,0.43184,0,0.5,0.05,7.15108,1,2.06115e-09,-nan,-nan,-nan,-nan,0.971936,-nan,-nan,-nan,0.502078,0,-nan,-nan
-284.99,0.828419,0,0.5,0.05,8.27576,1,2.06115e-09,-nan,-nan,-nan,-nan,0.997874,-nan,-nan,-nan,0.49049,0,-nan,-nan
-297.307,0.930763,0,0.5,0.05,15.1629,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998218,-nan,-nan,-nan,0.506992,-nan,-nan,-nan
-281.818,0.43184,0,0.5,0.05,6.54881,1,2.06115e-09,-nan,-nan,-nan,-nan,0.992126,-nan,-nan,-nan,0.508696,0,-nan,-nan
-279.318,0.828419,0,0.5,0.05,9.43285,1,2.06115e-09,-nan,-nan,-nan,-nan,0.997586,-nan,-nan,-nan,0.523429,0,-nan,-nan
-282.7,0.828419,0,0.5,0.05,9.04203,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998594,-nan,-nan,-nan,0.484972,0,-nan,-nan
-281.465,0.43184,0,0.5,0.05,7.90301,1,2.06115e-09,-nan,-nan,-nan,-nan,0.993443,-nan,-nan,-nan,0.502443,0,-nan,-nan
-281.136,0.43184,0,0.5,0.05,6.41471,1,2.06115e-09,-nan,-nan,-nan,-nan,0.992658,-nan,-nan,-nan,0.525237,0,-nan,-nan
-279.122,0.43184,0,0.5,0.05,8.12633,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998603,-nan,-nan,-nan,0.515053,0,-nan,-nan
-283.276,0.43184,0,0.5,0.05,6.28809,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998551,-nan,-nan,-nan,0.492788,0,-nan,-nan
-280.585,0.828419,0,0.5,0.05,11.4034,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998608,-nan,-nan,-nan,0.500979,0,-nan,-nan
-286.705,0.280321,0,0.5,0.05,5.37513,1,2.06115e-09,-nan,-nan,-nan,-nan,0.984874,-nan,-nan,-nan,0.507856,0,-nan,-nan
-299.76,0.930763,0,0.5,0.05,14.7044,1,2.06115e-09,-nan,-nan,-nan,-nan,0.999443,-nan,-nan,-nan,0.512906,-nan,-nan,-nan
-285.145,0.43184,0,0.5,0.05,8.13294,1,2.06115e-09,-nan,-nan,-nan,-nan,0.993819,-nan,-nan,-nan,0.496204,0,-nan,-nan
-297.605,0.930763,0,0.5,0.05,13.7453,1,2.06115e-09,-nan,-nan,-nan,-nan,0.99931,-nan,-nan,-nan,0.516268,-nan,-nan,-nan
-277.929,0.280321,0,0.5,0.05,8.60018,1,2.06115e-09,-nan,-nan,-nan,-nan,0.990947,-nan,-nan,-nan,0.510192,0,-nan,-nan
-282.11,0.280321,0,0.5,0.05,8.15924,1,2.06115e-09,-nan,-nan,-nan,-nan,1,-nan,-nan,-nan,0.484029,0,-nan,-nan
-301.512,0.950695,0,0.5,0.05,21.1716,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998757,-nan,-nan,-nan,0.507189,-nan,-nan,-nan
-278.957,0.43184,0,0.5,0.05,8.42459,1,2.06115e-09,-nan,-nan,-nan,-nan,0.995501,-nan,-nan,-nan,0.500731,0,-nan,-nan
-281.744,0.280321,0,0.5,0.05,12.5475,1,2.06115e-09,-nan,-nan,-nan,-nan,0.999532,-nan,-nan,-nan,0.488063,0,-nan,-nan
-295.989,0.0107627,0,0.5,0.05,6.82879,1,2.06115e-09,-nan,-nan,-nan,-nan,0.989125,-nan,-nan,-nan,0.504366,-nan,-nan,-nan
-280.097,0.280321,0,0.5,0.05,9.60438,1,2.06115e-09,-nan,-nan,-nan,-nan,1,-nan,-nan,-nan,0.506103,0,-nan,-nan
-280.304,0.43184,0,0.5,0.05,9.33617,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998245,-nan,-nan,-nan,0.494608,0,-nan,-nan
-285.007,0.828419,0,0.5,0.05,13.257,1,2.06115e-09,-nan,-nan,-nan,-nan,0.999043,-nan,-nan,-nan,0.497609,0,-nan,-nan
-285.757,0.828419,0,0.5,0.05,15.6293,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998645,-nan,-nan,-nan,0.509167,0,-nan,-nan
-288.308,0.828419,0,0.5,0.05,13.7476,1,2.06115e-09,-nan,-nan,-nan,-nan,1,-nan,-nan,-nan,0.528502,0,-nan,-nan
-285.128,0.828419,0,0.5,0.05,13.9633,1,2.06115e-09,-nan,-nan,-nan,-nan,0.997222,-nan,-nan,-nan,0.508065,0,-nan,-nan
-280.378,0.280321,0,0.5,0.05,5.5175,1,2.06115e-09,-nan,-nan,-nan,-nan,0.981176,-nan,-nan,-nan,0.49221,0,-nan,-nan
-296.331,0.930763,0,0.5,0.05,17.7614,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998598,-nan,-nan,-nan,0.507799,-nan,-nan,-nan
-276.964,0.280321,0,0.5,0.05,8.40543,1,2.06115e-09,-nan,-nan,-nan,-nan,0.991459,-nan,-nan,-nan,0.503415,0,-nan,-nan
-282.305,0.280321,0,0.5,0.05,7.26997,1,2.06115e-09,-nan,-nan,-nan,-nan,0.992604,-nan,-nan,-nan,0.519623,0,-nan,-nan
-281.775,0.280321,0,0.5,0.05,8.65135,1,2.06115e-09,-nan,-nan,-nan,-nan,1,-nan,-nan,-nan,0.489846,0,-nan,-nan
-277.986,0.280321,0,0.5,0.05,9.27769,1,2.06115e-09,-nan,-nan,-nan,-nan,1,-nan,-nan,-nan,0.502412,0,-nan,-nan
-296.298,0.950695,0,0.5,0.05,19.6602,1,2.06115e-09,-nan,-nan,-nan,-nan,0.999735,-nan,-nan,-nan,0.500387,-nan,-nan,-nan
-283.424,0.828419,0,0.5,0.05,14.404,1,2.06115e-09,-nan,-nan,-nan,-nan,0.999119,-nan,-nan,-nan,0.507884,0,-nan,-nan
-280.947,0.280321,0,0.5,0.05,9.18659,1,2.06115e-09,-nan,-nan,-nan,-nan,0.999523,-nan,-nan,-nan,0.504406,0,-nan,-nan
-285.331,0.43184,0,0.5,0.05,6.44447,1,2.06115e-09,-nan,-nan,-nan,-nan,0.997206,-nan,-nan,-nan,0.504587,0,-nan,-nan
-287.7,0.828419,0,0.5,0.05,14.1089,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998642,-nan,-nan,-nan,0.505491,0,-nan,-nan
-293.146,0.252601,0,0.5,0.05,10.036,1,2.06115e-09,-nan,-nan,-nan,-nan,0.997039,-nan,-nan,-nan,0.508774,-nan,-nan,-nan
