logLik,epsilon_neg_L1,epsilon_pos_L1,lambda,mu,diffusion_coef,tau_s,tau_l,epsilon_neg_accept,epsilon_pos_accept,lambda_accept,mu_accept,diffusion_coef_accept,tau_s_accept,tau_l_accept,change_k_accept,switch_anc_accept,add_anc_accept,make_founder_accept,make_orphan_accept
-763.183,0.0107627,0,0.5,0.05,13.4093,1,2.06115e-09,-nan,-nan,-nan,-nan,0.997093,-nan,-nan,-nan,0.546105,0.011236,0,-nan
-768.081,0.280321,0,0.5,0.05,11.3316,1,2.06115e-09,-nan,-nan,-nan,-nan,0.989553,-nan,-nan,-nan,0.519209,0.00501253,0.00159426,-nan
-771.612,0.252601,0,0.5,0.05,8.47756,1,2.06115e-09,-nan,-nan,-nan,-nan,0.9399,-nan,-nan,-nan,0.511955,0.00631823,0.00698138,-nan
-774.31,0.828419,0,0.5,0.05,12.2029,1,2.06115e-09,-nan,-nan,-nan,-nan,0.990124,-nan,-nan,-nan,0.508263,0.00117233,0,-nan
-764.822,0.950695,0,0.5,0.05,15.2316,1,2.06115e-09,-nan,-nan,-nan,-nan,0.928094,-nan,-nan,-nan,0.513369,0.00546359,0.00945135,-nan
-759.18,0.43184,0,0.5,0.05,15.8884,1,2.06115e-09,-nan,-nan,-nan,-nan,0.994363,-nan,-nan,-nan,0.520953,0.0038059,0.000978953,-nan
-771.604,0.828419,0,0.5,0.05,12.1971,1,2.06115e-09,-nan,-nan,-nan,-nan,0.995025,-nan,-nan,-nan,0.509641,0.00625,0.0031881,-nan
-758.573,0.950695,0,0.5,0.05,17.6048,1,2.06115e-09,-nan,-nan,-nan,-nan,0.996244,-nan,-nan,-nan,0.527027,0.00621118,0.00101317,-nan
-766.065,0.280321,0,0.5,0.05,12.9251,1,2.06115e-09,-nan,-nan,-nan,-nan,0.991286,-nan,-nan,-nan,0.506919,0.00460123,0.00132392,-nan
-765.873,0.43184,0,0.5,0.05,16.6098,1,2.06115e-09,-nan,-nan,-nan,-nan,0.993741,-nan,-nan,-nan,0.507478,0.00647249,0.00153257,-nan
-756.781,0.0107627,0,0.5,0.05,14.4829,1,2.06115e-09,-nan,-nan,-nan,-nan,0.99396,-nan,-nan,-nan,0.51845,0.00235018,0.000613497,-nan
-761.816,0.0107627,0,0.5,0.05,13.4305,1,2.06115e-09,-nan,-nan,-nan,-nan,0.989899,-nan,-nan,-nan,0.502666,0,0,-nan
-757.957,0.828419,0,0.5,0.05,15.1193,1,2.06115e-09,-nan,-nan,-nan,-nan,0.994737,-nan,-nan,-nan,0.508972,0.00511073,0.00107817,-nan
-768.868,0.0107627,0,0.5,0.05,12.5049,1,2.06115e-09,-nan,-nan,-nan,-nan,0.990014,-nan,-nan,-nan,0.524478,0.00537634,0.00161031,-nan
-764.067,0.533369,0,0.5,0.05,12.8777,1,2.06115e-09,-nan,-nan,-nan,-nan,0.989863,-nan,-nan,-nan,0.51395,0.00636943,0.00210917,-nan
-756.35,0.950695,0,0.5,0.05,18.6973,1,2.06115e-09,-nan,-nan,-nan,-nan,0.997082,-nan,-nan,-nan,0.522469,0.00452489,0.00121457,-nan
-753.042,0.950695,0,0.5,0.05,17.6361,1,2.06115e-09,-nan,-nan,-nan,-nan,1,-nan,-nan,-nan,0.494337,0,0,-nan
-756.955,0.950695,0,0.5,0.05,16.0343,1,2.06115e-09,-nan,-nan,-nan,-nan,1,-nan,-nan,-nan,0.499194,0,0,-nan
-759.895,0.43184,0,0.5,0.05,15.6258,1,2.06115e-09,-nan,-nan,-nan,-nan,0.996105,-nan,-nan,-nan,0.520132,0.00137931,0.000334113,-nan
-765.513,0.280321,0,0.5,0.05,12.0253,1,2.06115e-09,-nan,-nan,-nan,-nan,0.99039,-nan,-nan,-nan,0.518629,0.00325027,0.000854214,-nan
-758.804,0.828419,0,0.5,0.05,14.4788,1,2.06115e-09,-nan,-nan,-nan,-nan,0.99462,-nan,-nan,-nan,0.522205,0.00151976,0.000405515,-nan
-753.924,0.950695,0,0.5,0.05,16.9164,1,2.06115e-09,-nan,-nan,-nan,-nan,0.997988,-nan,-nan,-nan,0.519153,0,0,-nan
-759.512,0.930763,0,0.5,0.05,13.855,1,2.06115e-09,-nan,-nan,-nan,-nan,0.994138,-nan,-nan,-nan,0.522116,0.00345168,0.00091683,-nan
-760.266,0.43184,0,0.5,0.05,15.0786,1,2.06115e-09,-nan,-nan,-nan,-nan,0.994955,-nan,-nan,-nan,0.504018,0,0,-nan
-760.269,0.828419,0,0.5,0.05,16.775,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998624,-nan,-nan,-nan,0.526454,0.00641026,0.0015361,-nan
-760.647,0.950695,0,0.5,0.05,14.8351,1,2.06115e-09,-nan,-nan,-nan,-nan,0.99562,-nan,-nan,-nan,0.517477,0.0027027,0.000780031,-nan
-762.888,0.0107627,0,0.5,0.05,12.9954,1,2.06115e-09,-nan,-nan,-nan,-nan,0.994072,-nan,-nan,-nan,0.519919,0.0026738,0.000973947,-nan
-755.995,0.930763,0,0.5,0.05,14.803,1,2.06115e-09,-nan,-nan,-nan,-nan,0.991879,-nan,-nan,-nan,0.518793,0.0047619,0.001207,-nan
-766.671,0.43184,0,0.5,0.05,13.2004,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998824,-nan,-nan,-nan,0.516387,0,0,-nan
-764.339,0.0107627,0,0.5,0.05,12.1191,1,2.06115e-09,-nan,-nan,-nan,-nan,0.993513,-nan,-nan,-nan,0.51712,0.00353357,0.00104384,-nan
-761.436,0.930763,0,0.5,0.05,13.5978,1,2.06115e-09,-nan,-nan,-nan,-nan,0.996293,-nan,-nan,-nan,0.513878,0,0,-nan
-764.608,0.0107627,0,0.5,0.05,12.63,1,2.06115e-09,-nan,-nan,-nan,-nan,0.992908,-nan,-nan,-nan,0.500203,0.00490196,0,-nan
-757.122,0.950695,0,0.5,0.05,13.6116,1,2.06115e-09,-nan,-nan,-nan,-nan,0.994637,-nan,-nan,-nan,0.512409,0.00172414,0.00045208,-nan
-759.991,0.950695,0,0.5,0.05,12.2468,1,2.06115e-09,-nan,-nan,-nan,-nan,0.99705,-nan,-nan,-nan,0.513407,0.0131579,0.00315457,-nan
-766.963,0.43184,0,0.5,0.05,12.3291,1,2.06115e-09,-nan,-nan,-nan,-nan,0.991346,-nan,-nan,-nan,0.519346,0.00209644,0.000520291,-nan
-766.199,0.0107627,0,0.5,0.05,10.9487,1,2.06115e-09,-nan,-nan,-nan,-nan,0.986409,-nan,-nan,-nan,0.520968,0.00591716,0.00230061,-nan
